======================================================================
== /Users/douglas.mason/Documents/GitHub/kcd2_gear_picker/kcd2-ref/Libs/Tables/combat/combat_action_sync_perfect_block_hit.tbl
  [44] l_torch+clinch1+eZ2+r_bluntWeapon+oppDZ0+step0+oppMale
  [45] l_shield+clinch1+eZ2+r_bluntWeapon+oppDZ2+step1+oppMale
  [46] clinch1+eZ2+r_bluntWeapon+l_noShield+oppDZ2+step1+oppMale
  [47] l_torch+clinch1+eZ2+r_swords+oppDZ0+step0+oppMale
  [48] clinch2+eZ2+r_shortSwords+l_noShield+oppDZ1+step1+oppMale
  [49] l_torch+clinch2+eZ2+r_bluntWeapon+oppDZ0+step0+oppMale
  [50] stealthStand+eZ1+endStealthGrab+oppDZ1+oppMale
  [51] stealthStand+eZ2+EndCombatMode+oppDZ2+oppMale
  [52] CombatMasterStrikeHitGen
  [53] l_halberd+r_halberd+or_noweapon+leftGuard+eZ2+slash+oppHook+oppLeftGuard+ol_noShield+oppDZ1+oppMale
  [54] l_halberd+r_halberd+rightGuard+eZ1+slash+oppStab+or_shortSwords+oppRightGuard+ol_noShield+oppDZ2+oppMale
  [55] l_halberd+r_halberd+or_noweapon+rightGuard+eZ2+slash+oppHook+oppRightGuard+ol_noShield+oppDZ2+oppMale
  [56] l_halberd+r_halberd+ol_longsword+or_longsword+rightGuard+eZ1+slash+oppStab+oppRightGuard+oppDZ2+oppMale
  [57] l_halberd+r_halberd+rightGuard+eZ1+slash+oppStab+or_shortSwords+oppLeftGuard+ol_noShield+oppDZ5+oppMale
  [58] l_halberd+r_halberd+leftGuard+eZ1+slash+oppSlash+or_shortSwords+oppLeftGuard+ol_noShield+oppDZ1+oppMale
  [59] l_halberd+r_halberd+ol_shield+leftGuard+eZ2+slash+oppSlash+or_swords+oppLeftGuard+oppDZ1+oppMale
  [60] l_halberd+r_halberd+ol_shield+rightGuard+eZ2+slash+oppSlash+or_swords+oppRightGuard+oppDZ2+oppMale
  [61] l_halberd+r_halberd+ol_longsword+or_longsword+leftGuard+eZ5+slash+oppSlash+oppLeftGuard+oppDZ1+oppMale
  [62] l_halberd+r_halberd+ol_shield+rightGuard+eZ1+slash+oppSlash+or_swords+oppLeftGuard+oppDZ5+oppMale
  [63] l_halberd+r_halberd+ol_longsword+or_longsword+rightGuard+eZ5+slash+oppStab+oppLeftGuard+oppDZ5+oppMale
  [64] l_longsword+r_longsword+rightGuard+eZ0+slash+oppStab+or_shortSwords+oppLeftGuard+ol_noShield+oppDZ5+oppMale
  [65] l_longsword+r_longsword+ol_shield+rightGuard+eZ2+slash+oppSlash+or_swords+oppLeftGuard+oppDZ5+oppMale
  [66] l_longsword+r_longsword+leftGuard+eZ1+slash+oppSlash+or_shortSwords+oppLeftGuard+ol_noShield+oppDZ1+oppMale
  [67] l_longsword+r_longsword+ol_longsword+or_longsword+rightGuard+eZ1+slash+oppStab+oppLeftGuard+oppDZ5+oppMale
  [68] l_longsword+r_longsword+ol_longsword+or_longsword+leftGuard+eZ1+slash+oppSlash+oppLeftGuard+oppDZ1+oppMale
  [69] l_longsword+r_longsword+ol_shield+rightGuard+eZ2+slash+oppStab+or_swords+oppRightGuard+oppDZ2+oppMale
  [70] l_longsword+r_longsword+ol_shield+leftGuard+eZ2+slash+oppSlash+or_swords+oppLeftGuard+oppDZ1+oppMale
  [71] l_longsword+r_longsword+rightGuard+eZ2+slash+oppStab+or_shortSwords+oppRightGuard+ol_noShield+oppDZ2+oppMale
  [72] l_longsword+r_longsword+or_noweapon+leftGuard+eZ2+slash+oppHook+oppRightGuard+ol_noShield+oppDZ0+oppMale
  [73] l_longsword+r_longsword+leftGuard+eZ1+slash+oppSlash+or_shortSwords+oppRightGuard+ol_noShield+oppDZ0+oppMale
  [74] l_longsword+r_longsword+or_noweapon+leftGuard+eZ2+slash+oppHook+oppLeftGuard+ol_noShield+oppDZ1+oppMale
  [75] l_longsword+r_longsword+or_noweapon+rightGuard+eZ2+slash+oppHook+oppRightGuard+ol_noShield+oppDZ2+oppMale
  [76] l_longsword+r_longsword+ol_longsword+or_longsword+rightGuard+eZ1+slash+oppStab+oppRightGuard+oppDZ2+oppMale
  [77] l_longsword+r_longsword+ol_shield+leftGuard+eZ0+slash+oppSlash+or_swords+oppRightGuard+oppDZ0+oppMale
  [78] l_longsword+r_longsword+ol_longsword+or_longsword+leftGuard+eZ2+slash+oppStab+oppRightGuard+oppDZ0+oppMale
  [79] ol_longsword+or_longsword+leftGuard+eZ1+slash+oppSlash+r_bluntWeapon+oppLeftGuard+l_noShield+oppDZ1+oppMale
  [80] leftGuard+eZ1+slash+oppSlash+r_bluntWeapon+or_shortSwords+oppLeftGuard+l_noShield+ol_noShield+oppDZ1+oppMale
  [81] leftGuard+eZ1+slash+oppSlash+r_shortSwords+or_shortSwords+oppRightGuard+l_noShield+ol_noShield+oppDZ0+oppMale
  [82] rightGuard+eZ0+slash+oppStab+r_shortSwords+or_shortSwords+oppLeftGuard+l_noShield+ol_noShield+oppDZ5+oppMale
  [83] l_shield+rightGuard+eZ2+slash+oppStab+r_bluntWeapon+or_shortSwords+oppRightGuard+ol_noShield+oppDZ2+oppMale
  [84] l_shield+ol_shield+leftGuard+eZ0+slash+oppSlash+r_swords+or_swords+oppRightGuard+oppDZ0+oppMale
  [85] leftGuard+eZ1+slash+oppSlash+r_bluntWeapon+or_shortSwords+oppRightGuard+l_noShield+ol_noShield+oppDZ0+oppMale
  [86] ol_shield+rightGuard+eZ2+slash+oppStab+r_bluntWeapon+or_swords+oppRightGuard+l_noShield+oppDZ2+oppMale
  [87] l_shield+ol_longsword+or_longsword+leftGuard+eZ2+slash+oppStab+r_bluntWeapon+oppRightGuard+oppDZ0+oppMale
  [88] or_noweapon+leftGuard+eZ2+slash+oppHook+r_shortSwords+oppLeftGuard+l_noShield+ol_noShield+oppDZ1+oppMale
  [89] or_noweapon+leftGuard+eZ2+slash+oppHook+r_bluntWeapon+oppLeftGuard+l_noShield+ol_noShield+oppDZ1+oppMale
  [90] l_shield+ol_shield+rightGuard+eZ0+slash+oppSlash+r_swords+or_swords+oppLeftGuard+oppDZ5+oppMale
  [91] l_shield+or_noweapon+leftGuard+eZ2+slash+oppHook+r_swords+oppRightGuard+ol_noShield+oppDZ0+oppMale
  [92] ol_longsword+or_longsword+leftGuard+eZ2+slash+oppStab+r_bluntWeapon+oppRightGuard+l_noShield+oppDZ0+oppMale
  [93] l_shield+ol_longsword+or_longsword+leftGuard+eZ1+slash+oppSlash+r_bluntWeapon+oppLeftGuard+oppDZ1+oppMale
  [94] ol_longsword+or_longsword+rightGuard+eZ1+slash+oppStab+r_shortSwords+oppLeftGuard+l_noShield+oppDZ5+oppMale
  [95] l_shield+or_noweapon+leftGuard+eZ2+slash+oppHook+r_bluntWeapon+oppLeftGuard+ol_noShield+oppDZ1+oppMale
  [96] l_shield+ol_shield+rightGuard+eZ2+slash+oppSlash+r_bluntWeapon+or_swords+oppRightGuard+oppDZ2+oppMale
  [97] leftGuard+eZ1+slash+oppSlash+r_shortSwords+or_shortSwords+oppLeftGuard+l_noShield+ol_noShield+oppDZ1+oppMale
  [98] l_shield+ol_longsword+or_longsword+leftGuard+eZ2+slash+oppStab+r_swords+oppRightGuard+oppDZ0+oppMale
  [99] l_shield+ol_shield+leftGuard+eZ0+slash+oppSlash+r_bluntWeapon+or_swords+oppLeftGuard+oppDZ1+oppMale
  [100] l_shield+ol_longsword+or_longsword+rightGuard+eZ1+slash+oppStab+r_bluntWeapon+oppRightGuard+oppDZ2+oppMale
  [101] ol_longsword+or_longsword+rightGuard+eZ1+slash+oppStab+r_shortSwords+oppRightGuard+l_noShield+oppDZ2+oppMale
  [102] ol_shield+leftGuard+eZ0+slash+oppSlash+r_shortSwords+or_swords+oppLeftGuard+l_noShield+oppDZ1+oppMale
  [103] or_noweapon+leftGuard+eZ2+slash+oppHook+r_shortSwords+oppRightGuard+l_noShield+ol_noShield+oppDZ0+oppMale
  [104] l_shield+ol_longsword+or_longsword+leftGuard+eZ1+slash+oppSlash+r_swords+oppLeftGuard+oppDZ1+oppMale
  [105] l_shield+or_noweapon+rightGuard+eZ1+slash+oppHook+r_swords+oppRightGuard+ol_noShield+oppDZ2+oppMale
  [106] rightGuard+eZ2+slash+oppStab+r_bluntWeapon+or_shortSwords+oppRightGuard+l_noShield+ol_noShield+oppDZ2+oppMale
  [107] l_shield+ol_shield+leftGuard+eZ0+slash+oppSlash+r_bluntWeapon+or_swords+oppRightGuard+oppDZ0+oppMale
  [108] or_noweapon+leftGuard+eZ2+slash+oppHook+r_bluntWeapon+oppRightGuard+l_noShield+ol_noShield+oppDZ0+oppMale
  [109] ol_shield+rightGuard+eZ0+slash+oppSlash+r_shortSwords+or_swords+oppLeftGuard+l_noShield+oppDZ5+oppMale
  [110] ol_longsword+or_longsword+leftGuard+eZ1+slash+oppSlash+r_shortSwords+oppLeftGuard+l_noShield+oppDZ1+oppMale
  [111] ol_longsword+or_longsword+rightGuard+eZ1+slash+oppStab+r_bluntWeapon+oppRightGuard+l_noShield+oppDZ2+oppMale
  [112] l_shield+or_noweapon+rightGuard+eZ1+slash+oppHook+r_bluntWeapon+oppRightGuard+ol_noShield+oppDZ2+oppMale
  [113] ol_shield+leftGuard+eZ0+slash+oppSlash+r_bluntWeapon+or_swords+oppLeftGuard+l_noShield+oppDZ1+oppMale
  [114] l_shield+leftGuard+eZ1+slash+oppSlash+r_swords+or_shortSwords+oppRightGuard+ol_noShield+oppDZ0+oppMale
  [115] ol_longsword+or_longsword+leftGuard+eZ2+slash+oppStab+r_shortSwords+oppRightGuard+l_noShield+oppDZ0+oppMale
  [116] ol_shield+leftGuard+eZ0+slash+oppSlash+r_bluntWeapon+or_swords+oppRightGuard+l_noShield+oppDZ0+oppMale
  [117] rightGuard+eZ2+slash+oppStab+r_shortSwords+or_shortSwords+oppRightGuard+l_noShield+ol_noShield+oppDZ2+oppMale
  [118] or_noweapon+rightGuard+eZ1+slash+oppHook+r_shortSwords+oppRightGuard+l_noShield+ol_noShield+oppDZ2+oppMale
  [119] l_shield+or_noweapon+leftGuard+eZ2+slash+oppHook+r_swords+oppLeftGuard+ol_noShield+oppDZ1+oppMale
  [120] l_shield+ol_longsword+or_longsword+rightGuard+eZ1+slash+oppStab+r_swords+oppRightGuard+oppDZ2+oppMale
  [121] l_shield+ol_shield+leftGuard+eZ0+slash+oppSlash+r_swords+or_swords+oppLeftGuard+oppDZ1+oppMale
  [122] l_shield+leftGuard+eZ1+slash+oppSlash+r_swords+or_shortSwords+oppLeftGuard+ol_noShield+oppDZ1+oppMale
  [123] l_shield+rightGuard+eZ0+slash+oppStab+r_swords+or_shortSwords+oppLeftGuard+ol_noShield+oppDZ5+oppMale
  [124] l_shield+leftGuard+eZ1+slash+oppSlash+r_bluntWeapon+or_shortSwords+oppLeftGuard+ol_noShield+oppDZ1+oppMale
  [125] l_shield+ol_longsword+or_longsword+rightGuard+eZ1+slash+oppStab+r_swords+oppLeftGuard+oppDZ5+oppMale
  [126] or_noweapon+rightGuard+eZ1+slash+oppHook+r_bluntWeapon+oppRightGuard+l_noShield+ol_noShield+oppDZ2+oppMale
  [127] ol_shield+rightGuard+eZ2+slash+oppStab+r_shortSwords+or_swords+oppRightGuard+l_noShield+oppDZ2+oppMale
  [128] l_shield+or_noweapon+leftGuard+eZ2+slash+oppHook+r_bluntWeapon+oppRightGuard+ol_noShield+oppDZ0+oppMale
  [129] l_shield+ol_shield+rightGuard+eZ2+slash+oppSlash+r_swords+or_swords+oppRightGuard+oppDZ2+oppMale
  [130] l_shield+rightGuard+eZ2+slash+oppStab+r_swords+or_shortSwords+oppRightGuard+ol_noShield+oppDZ2+oppMale
  [131] r_noweapon+or_noweapon+rightGuard+eZ2+slash+oppHook+oppRightGuard+l_noShield+ol_noShield+oppDZ2+oppMale
  [132] ol_shield+leftGuard+eZ0+slash+oppSlash+r_shortSwords+or_swords+oppRightGuard+l_noShield+oppDZ0+oppMale
  [133] l_shield+leftGuard+eZ1+slash+oppSlash+r_bluntWeapon+or_shortSwords+oppRightGuard+ol_noShield+oppDZ0+oppMale
  [134] r_noweapon+or_noweapon+leftGuard+eZ2+slash+oppHook+oppLeftGuard+l_noShield+ol_noShield+oppDZ1+oppMale
  [135] CombatMasterStrikeHitDeathGen
  [136] l_halberd+r_halberd+ol_shield+rightGuard+slash+oppSlash+or_swords+oppLeftGuard+oppDZ5+oppMale
  [137] l_halberd+r_halberd+rightGuard+slash+oppStab+or_shortSwords+oppLeftGuard+ol_noShield+oppDZ5+oppMale
  [138] l_halberd+r_halberd+ol_longsword+or_longsword+rightGuard+slash+oppStab+oppLeftGuard+oppDZ5+oppMale
  [139] l_halberd+r_halberd+rightGuard+slash+oppStab+or_shortSwords+oppRightGuard+ol_noShield+oppDZ2+oppMale
  [140] l_halberd+r_halberd+or_noweapon+rightGuard+slash+oppHook+oppRightGuard+ol_noShield+oppDZ2+oppMale
  [141] l_halberd+r_halberd+ol_longsword+or_longsword+rightGuard+slash+oppStab+oppRightGuard+oppDZ2+oppMale
  [142] l_halberd+r_halberd+ol_shield+rightGuard+slash+oppSlash+or_swords+oppRightGuard+oppDZ2+oppMale
  [143] l_halberd+r_halberd+ol_shield+leftGuard+slash+oppSlash+or_swords+oppLeftGuard+oppDZ1+oppMale
  [144] l_halberd+r_halberd+ol_longsword+or_longsword+leftGuard+slash+oppSlash+oppLeftGuard+oppDZ1+oppMale
  [145] l_halberd+r_halberd+or_noweapon+leftGuard+slash+oppHook+oppLeftGuard+ol_noShield+oppDZ1+oppMale
  [146] l_halberd+r_halberd+leftGuard+slash+oppSlash+or_shortSwords+oppLeftGuard+ol_noShield+oppDZ1+oppMale
  [147] l_longsword+r_longsword+ol_shield+leftGuard+slash+oppSlash+or_swords+oppLeftGuard+oppDZ1+oppMale
  [148] l_longsword+r_longsword+rightGuard+slash+oppStab+or_shortSwords+oppLeftGuard+ol_noShield+oppDZ5+oppMale
  [149] l_longsword+r_longsword+ol_longsword+or_longsword+leftGuard+slash+oppStab+oppRightGuard+oppDZ0+oppMale
  [150] l_longsword+r_longsword+or_noweapon+leftGuard+slash+oppHook+oppLeftGuard+ol_noShield+oppDZ1+oppMale
  [151] l_longsword+r_longsword+leftGuard+slash+oppSlash+or_shortSwords+oppRightGuard+ol_noShield+oppDZ0+oppMale
  [152] l_longsword+r_longsword+ol_longsword+or_longsword+rightGuard+slash+oppStab+oppRightGuard+oppDZ2+oppMale
  [153] l_longsword+r_longsword+ol_longsword+or_longsword+rightGuard+slash+oppStab+oppLeftGuard+oppDZ5+oppMale
  [154] l_longsword+r_longsword+or_noweapon+leftGuard+slash+oppHook+oppRightGuard+ol_noShield+oppDZ0+oppMale
  [155] l_longsword+r_longsword+ol_longsword+or_longsword+leftGuard+slash+oppSlash+oppLeftGuard+oppDZ1+oppMale
  [156] l_longsword+r_longsword+leftGuard+slash+oppSlash+or_shortSwords+oppLeftGuard+ol_noShield+oppDZ1+oppMale
  [157] l_longsword+r_longsword+ol_shield+rightGuard+slash+oppSlash+or_swords+oppLeftGuard+oppDZ5+oppMale
  [158] l_longsword+r_longsword+ol_shield+rightGuard+slash+oppStab+or_swords+oppRightGuard+oppDZ2+oppMale
  [159] l_longsword+r_longsword+or_noweapon+rightGuard+slash+oppHook+oppRightGuard+ol_noShield+oppDZ2+oppMale
  [160] l_longsword+r_longsword+ol_shield+leftGuard+slash+oppSlash+or_swords+oppRightGuard+oppDZ0+oppMale
  [161] l_longsword+r_longsword+rightGuard+slash+oppStab+or_shortSwords+oppRightGuard+ol_noShield+oppDZ2+oppMale
  [162] ol_longsword+or_longsword+leftGuard+slash+oppStab+r_shortSwords+oppRightGuard+l_noShield+oppDZ0+oppMale
  [163] l_shield+or_noweapon+leftGuard+slash+oppHook+r_swords+oppRightGuard+ol_noShield+oppDZ0+oppMale
  [164] leftGuard+slash+oppSlash+r_shortSwords+or_shortSwords+oppRightGuard+l_noShield+ol_noShield+oppDZ0+oppMale
  [165] ol_longsword+or_longsword+leftGuard+slash+oppStab+r_bluntWeapon+oppRightGuard+l_noShield+oppDZ0+oppMale
  [166] ol_shield+rightGuard+slash+oppStab+r_bluntWeapon+or_swords+oppRightGuard+l_noShield+oppDZ2+oppMale
  [167] l_shield+ol_shield+leftGuard+slash+oppSlash+r_swords+or_swords+oppRightGuard+oppDZ0+oppMale
  [168] l_shield+ol_longsword+or_longsword+rightGuard+slash+oppStab+r_swords+oppRightGuard+oppDZ2+oppMale
  [169] ol_longsword+or_longsword+rightGuard+slash+oppStab+r_bluntWeapon+oppRightGuard+l_noShield+oppDZ2+oppMale
  [170] l_shield+ol_longsword+or_longsword+rightGuard+slash+oppStab+r_swords+oppLeftGuard+oppDZ5+oppMale
  [171] l_shield+or_noweapon+leftGuard+slash+oppHook+r_bluntWeapon+oppRightGuard+ol_noShield+oppDZ0+oppMale
  [172] l_shield+rightGuard+slash+oppStab+r_swords+or_shortSwords+oppRightGuard+ol_noShield+oppDZ2+oppMale
  [173] l_shield+ol_shield+rightGuard+slash+oppSlash+r_swords+or_swords+oppLeftGuard+oppDZ5+oppMale
  [174] r_noweapon+or_noweapon+rightGuard+slash+oppHook+oppRightGuard+l_noShield+ol_noShield+oppDZ2+oppMale
  [175] or_noweapon+rightGuard+slash+oppHook+r_bluntWeapon+oppRightGuard+l_noShield+ol_noShield+oppDZ2+oppMale
  [176] ol_longsword+or_longsword+leftGuard+slash+oppSlash+r_bluntWeapon+oppLeftGuard+l_noShield+oppDZ1+oppMale
  [177] l_shield+leftGuard+slash+oppSlash+r_bluntWeapon+or_shortSwords+oppLeftGuard+ol_noShield+oppDZ1+oppMale
  [178] leftGuard+slash+oppSlash+r_shortSwords+or_shortSwords+oppLeftGuard+l_noShield+ol_noShield+oppDZ1+oppMale
  [179] l_shield+ol_longsword+or_longsword+leftGuard+slash+oppSlash+r_swords+oppLeftGuard+oppDZ1+oppMale
  [180] r_noweapon+or_noweapon+leftGuard+slash+oppHook+oppLeftGuard+l_noShield+ol_noShield+oppDZ1+oppMale
  [181] ol_longsword+or_longsword+leftGuard+slash+oppSlash+r_shortSwords+oppLeftGuard+l_noShield+oppDZ1+oppMale
  [182] l_shield+or_noweapon+rightGuard+slash+oppHook+r_swords+oppRightGuard+ol_noShield+oppDZ2+oppMale
  [183] or_noweapon+leftGuard+slash+oppHook+r_bluntWeapon+oppLeftGuard+l_noShield+ol_noShield+oppDZ1+oppMale
  [184] rightGuard+slash+oppStab+r_shortSwords+or_shortSwords+oppRightGuard+l_noShield+ol_noShield+oppDZ2+oppMale
  [185] l_shield+or_noweapon+leftGuard+slash+oppHook+r_bluntWeapon+oppLeftGuard+ol_noShield+oppDZ1+oppMale
  [186] l_shield+or_noweapon+rightGuard+slash+oppHook+r_bluntWeapon+oppRightGuard+ol_noShield+oppDZ2+oppMale
  [187] l_shield+ol_shield+rightGuard+slash+oppSlash+r_bluntWeapon+or_swords+oppRightGuard+oppDZ2+oppMale
  [188] l_shield+leftGuard+slash+oppSlash+r_swords+or_shortSwords+oppRightGuard+ol_noShield+oppDZ0+oppMale
  [189] l_shield+ol_shield+leftGuard+slash+oppSlash+r_bluntWeapon+or_swords+oppLeftGuard+oppDZ1+oppMale
  [190] or_noweapon+leftGuard+slash+oppHook+r_shortSwords+oppLeftGuard+l_noShield+ol_noShield+oppDZ1+oppMale
  [191] ol_shield+rightGuard+slash+oppStab+r_shortSwords+or_swords+oppRightGuard+l_noShield+oppDZ2+oppMale
  [192] l_shield+rightGuard+slash+oppStab+r_bluntWeapon+or_shortSwords+oppRightGuard+ol_noShield+oppDZ2+oppMale
  [193] or_noweapon+leftGuard+slash+oppHook+r_shortSwords+oppRightGuard+l_noShield+ol_noShield+oppDZ0+oppMale
  [194] or_noweapon+leftGuard+slash+oppHook+r_bluntWeapon+oppRightGuard+l_noShield+ol_noShield+oppDZ0+oppMale
  [195] l_shield+rightGuard+slash+oppStab+r_swords+or_shortSwords+oppLeftGuard+ol_noShield+oppDZ5+oppMale
  [196] l_shield+leftGuard+slash+oppSlash+r_swords+or_shortSwords+oppLeftGuard+ol_noShield+oppDZ1+oppMale
  [197] or_noweapon+rightGuard+slash+oppHook+r_shortSwords+oppRightGuard+l_noShield+ol_noShield+oppDZ2+oppMale
  [198] ol_shield+leftGuard+slash+oppSlash+r_shortSwords+or_swords+oppRightGuard+l_noShield+oppDZ0+oppMale
  [199] rightGuard+slash+oppStab+r_shortSwords+or_shortSwords+oppLeftGuard+l_noShield+ol_noShield+oppDZ5+oppMale
  [200] ol_shield+leftGuard+slash+oppSlash+r_shortSwords+or_swords+oppLeftGuard+l_noShield+oppDZ1+oppMale
  [201] l_shield+leftGuard+slash+oppSlash+r_bluntWeapon+or_shortSwords+oppRightGuard+ol_noShield+oppDZ0+oppMale
  [202] l_shield+ol_shield+rightGuard+slash+oppSlash+r_swords+or_swords+oppRightGuard+oppDZ2+oppMale
  [203] l_shield+ol_longsword+or_longsword+leftGuard+slash+oppSlash+r_bluntWeapon+oppLeftGuard+oppDZ1+oppMale
  [204] rightGuard+slash+oppStab+r_bluntWeapon+or_shortSwords+oppRightGuard+l_noShield+ol_noShield+oppDZ2+oppMale
  [205] l_shield+ol_longsword+or_longsword+rightGuard+slash+oppStab+r_bluntWeapon+oppRightGuard+oppDZ2+oppMale
  [206] l_shield+or_noweapon+leftGuard+slash+oppHook+r_swords+oppLeftGuard+ol_noShield+oppDZ1+oppMale
  [207] ol_longsword+or_longsword+rightGuard+slash+oppStab+r_shortSwords+oppLeftGuard+l_noShield+oppDZ5+oppMale
  [208] l_shield+ol_shield+leftGuard+slash+oppSlash+r_swords+or_swords+oppLeftGuard+oppDZ1+oppMale
  [209] leftGuard+slash+oppSlash+r_bluntWeapon+or_shortSwords+oppLeftGuard+l_noShield+ol_noShield+oppDZ1+oppMale
  [210] leftGuard+slash+oppSlash+r_bluntWeapon+or_shortSwords+oppRightGuard+l_noShield+ol_noShield+oppDZ0+oppMale
  [211] ol_shield+leftGuard+slash+oppSlash+r_bluntWeapon+or_swords+oppLeftGuard+l_noShield+oppDZ1+oppMale
  [212] l_shield+ol_shield+leftGuard+slash+oppSlash+r_bluntWeapon+or_swords+oppRightGuard+oppDZ0+oppMale
  [213] ol_longsword+or_longsword+rightGuard+slash+oppStab+r_shortSwords+oppRightGuard+l_noShield+oppDZ2+oppMale
  [214] l_shield+ol_longsword+or_longsword+leftGuard+slash+oppStab+r_swords+oppRightGuard+oppDZ0+oppMale
  [215] ol_shield+rightGuard+slash+oppSlash+r_shortSwords+or_swords+oppLeftGuard+l_noShield+oppDZ5+oppMale
  [216] l_shield+ol_longsword+or_longsword+leftGuard+slash+oppStab+r_bluntWeapon+oppRightGuard+oppDZ0+oppMale
  [217] ol_shield+leftGuard+slash+oppSlash+r_bluntWeapon+or_swords+oppRightGuard+l_noShield+oppDZ0+oppMale
