======================================================================
== C:\GitHub\kcd2_gear_picker\kcd2-ref\Libs\Tables\combat\combat_action_guard_movement.tbl
  [51] sZ5+rightGuard+r_shortSwords+l_noShield+oppMale+oppFemale
  [52] r_noweapon+sZ1+rightGuard+l_noShield+oppMale+oppFemale
  [53] sZ0+leftGuard+r_shortSwords+l_noShield+oppMale+oppFemale
  [54] r_noweapon+sZ5+rightGuard+l_noShield+oppDog
  [55] l_shield+shieldUp
  [56] l_shield+freeBlock
  [57] HorseCombatIdle
  [58] horse+r_rifle+charge+prime+cocked
  [59] horse+l_crossbow+charge+prime
  [60] horse+l_bow+charge+prime
  [61] horse+l_bow+prime
  [62] horse+l_crossbow
  [63] horse+r_rifle
  [64] horse+l_torch+r_longsword+sZ1+freeGuard+l_noShield
  [65] horse+l_torch+r_longsword+sZ2+freeGuard+l_noShield
  [66] horse+r_longsword+sZ1+freeGuard+l_noShield
  [67] horse+r_longsword+sZ2+freeGuard+l_noShield
  [68] horse+r_halberd+sZ2+freeGuard
  [69] horse+r_halberd+sZ1+freeGuard
  [70] horse+l_torch+sZ2+freeGuard+r_shortSwords+l_noShield
  [71] horse+l_torch+sZ1+freeGuard+r_bluntWeapon+l_noShield
  [72] horse+l_torch+sZ1+freeGuard+r_shortSwords+l_noShield
  [73] horse+l_torch+sZ2+freeGuard+r_bluntWeapon+l_noShield
  [74] horse+sZ2+freeGuard+r_shortSwords+l_noShield
  [75] horse+l_shield+sZ2+freeGuard+r_bluntWeapon
  [76] horse+l_shield+sZ1+freeGuard+r_swords
  [77] horse+sZ2+freeGuard+r_bluntWeapon+l_noShield
  [78] horse+l_shield+sZ2+freeGuard+r_swords
  [79] horse+sZ1+freeGuard+r_shortSwords+l_noShield
  [80] horse+l_shield+sZ1+freeGuard+r_bluntWeapon
  [81] horse+sZ1+freeGuard+r_bluntWeapon+l_noShield
  [82] horse
  [83] HorseCombatMovement
  [84] horse+walk+backward+l_torch+r_longsword+sZ2+freeGuard
  [85] horse+walk+backward+l_torch+r_longsword+sZ1+freeGuard
  [86] horse+walk+backward+l_longsword+r_longsword+sZ2+freeGuard
  [87] horse+walk+backward+l_longsword+r_longsword+sZ1+freeGuard
  [88] horse+run+l_torch+r_longsword+sZ1+freeGuard
  [89] horse+dash+l_longsword+r_longsword+sZ1+freeGuard
  [90] horse+run+l_longsword+r_longsword+sZ2+freeGuard
  [91] horse+dash+l_torch+r_longsword+sZ1+freeGuard
  [92] horse+walk+l_longsword+r_longsword+sZ1+freeGuard
  [93] horse+walk+l_torch+r_longsword+sZ2+freeGuard
  [94] horse+walk+backward+r_halberd+sZ2+freeGuard
  [95] horse+run+l_longsword+r_longsword+sZ1+freeGuard
  [96] horse+sprint+l_longsword+r_longsword+sZ1+freeGuard
  [97] horse+sprint+l_torch+r_longsword+sZ2+freeGuard
  [98] horse+run+l_torch+r_longsword+sZ2+freeGuard
  [99] horse+walk+l_longsword+r_longsword+sZ2+freeGuard
  [100] horse+dash+l_longsword+r_longsword+sZ2+freeGuard
  [101] horse+dash+l_torch+r_longsword+sZ2+freeGuard
  [102] horse+sprint+l_longsword+r_longsword+sZ2+freeGuard
  [103] horse+walk+l_torch+r_longsword+sZ1+freeGuard
  [104] horse+sprint+l_torch+r_longsword+sZ1+freeGuard
  [105] horse+walk+r_halberd+sZ1+freeGuard
  [106] horse+run+r_halberd+sZ1+freeGuard
  [107] horse+dash+r_halberd+sZ2+freeGuard
  [108] horse+dash+r_halberd+sZ1+freeGuard
  [109] horse+run+r_halberd+sZ2+freeGuard
  [110] horse+sprint+r_halberd+sZ2+freeGuard
  [111] horse+walk+r_halberd+sZ2+freeGuard
  [112] horse+sprint+r_halberd+sZ1+freeGuard
  [113] horse+walk+backward+l_torch+sZ2+freeGuard+r_shortWeapon
  [114] horse+walk+backward+l_torch+sZ1+freeGuard+r_shortWeapon
  [115] horse+sprint+l_torch+sZ1+freeGuard+r_shortWeapon
  [116] horse+run+l_torch+sZ2+freeGuard+r_shortWeapon
  [117] horse+dash+l_torch+sZ2+freeGuard+r_shortWeapon
  [118] horse+sprint+l_torch+sZ2+freeGuard+r_shortWeapon
  [119] horse+walk+backward+sZ2+freeGuard+r_shortWeapon
  [120] horse+walk+l_torch+sZ1+freeGuard+r_shortWeapon
  [121] horse+dash+l_torch+sZ1+freeGuard+r_shortWeapon
  [122] horse+walk+l_torch+sZ2+freeGuard+r_shortWeapon
  [123] horse+walk+backward+sZ1+freeGuard+r_shortWeapon
  [124] horse+run+l_torch+sZ1+freeGuard+r_shortWeapon
  [125] horse+dash+sZ1+freeGuard+r_shortWeapon
  [126] horse+walk+sZ1+freeGuard+r_shortWeapon
  [127] horse+walk+sZ2+freeGuard+r_shortWeapon
  [128] horse+dash+sZ2+freeGuard+r_shortWeapon
  [129] horse+run+sZ1+freeGuard+r_shortWeapon
  [130] horse+sprint+sZ2+freeGuard+r_shortWeapon
  [131] horse+sprint+sZ1+freeGuard+r_shortWeapon
  [132] horse+run+sZ2+freeGuard+r_shortWeapon
  [133] HorseCombatJump
  [134] horse+walk+l_shield+r_longsword+sZ1+freeGuard
  [135] horse+sprint+l_shield+r_longsword+sZ2+freeGuard
  [136] horse+walk+l_shield+r_longsword+sZ2+freeGuard
  [137] horse+run+l_shield+r_longsword+sZ1+freeGuard
  [138] horse+sprint+l_shield+r_longsword+sZ1+freeGuard
  [139] horse+dash+l_shield+r_longsword+sZ1+freeGuard
  [140] horse+run+l_shield+r_longsword+sZ2+freeGuard
  [141] horse+dash+l_shield+r_longsword+sZ2+freeGuard
  [142] horse+l_shield+r_longsword+sZ1+freeGuard
  [143] horse+l_shield+r_longsword+sZ2+freeGuard
  [144] horse+l_torch+r_longsword+sZ2+freeGuard
  [145] horse+l_torch+r_longsword+sZ1+freeGuard
  [146] horse+l_torch+sZ1+freeGuard+r_shortWeapon
  [147] horse+l_torch+sZ2+freeGuard+r_shortWeapon
  [148] horse+sZ2+freeGuard+r_shortWeapon
  [149] horse+sZ1+freeGuard+r_shortWeapon
  [150] HorseCombatLand
  [151] HorseCombatRear
  [152] l_torch+r_longsword+sZ2+freeGuard
  [153] l_torch+r_longsword+sZ1+freeGuard
  [154] l_shield+r_longsword+sZ1+freeGuard
  [155] l_shield+r_longsword+sZ2+freeGuard
  [156] r_halberd+sZ1+freeGuard
  [157] r_halberd+sZ2+freeGuard
  [158] l_torch+sZ2+freeGuard+r_shortWeapon
  [159] l_torch+sZ1+freeGuard+r_shortWeapon
  [160] sZ2+freeGuard+r_shortWeapon
  [161] sZ1+freeGuard+r_shortWeapon
  [162] HorseCombatForcedRear
  [163] horse+r_longsword+sZ2+freeGuard
  [164] horse+r_longsword+sZ1+freeGuard
  [165] HorseCombatFastStop
  [166] horse+l_shield+sZ2+freeGuard+r_shortWeapon
  [167] horse+l_shield+sZ1+freeGuard+r_shortWeapon
