======================================================================
== C:\GitHub\kcd2_gear_picker\kcd2-ref\Libs\Tables\combat\combat_action_dodge.tbl
  [45] sZ0+leftGuard+eZ0+move_forward+r_bluntWeapon+l_noShield+oppDog+oppMale
  [46] l_shield+sZ1+rightGuard+eZ1+move_left+r_swords+oppDog+oppMale
  [47] l_shield+sZ2+leftGuard+eZ2+move_forward+r_bluntWeapon+oppDog+oppMale
  [48] l_shield+sZ1+rightGuard+eZ1+move_right+r_swords+oppDog+oppMale
  [49] l_shield+sZ1+rightGuard+eZ1+move_left+r_bluntWeapon+oppDog+oppMale
  [50] l_shield+sZ2+leftGuard+eZ2+move_right+r_swords+oppDog+oppMale
  [51] sZ0+leftGuard+eZ0+move_left+r_shortSwords+l_noShield+oppDog+oppMale
  [52] sZ2+leftGuard+eZ2+move_forward+r_shortSwords+l_noShield+oppDog+oppMale
  [53] l_shield+sZ5+rightGuard+eZ5+move_forward+r_swords+oppDog+oppMale
  [54] l_shield+sZ1+rightGuard+eZ1+move_back+r_bluntWeapon+oppDog+oppMale
  [55] sZ0+leftGuard+eZ0+move_back+r_shortSwords+l_noShield+oppDog+oppMale
  [56] sZ1+rightGuard+eZ1+move_back+r_bluntWeapon+l_noShield+oppDog+oppMale
  [57] sZ0+leftGuard+eZ0+move_back+r_bluntWeapon+l_noShield+oppDog+oppMale
  [58] sZ5+rightGuard+eZ5+move_back+r_shortSwords+l_noShield+oppDog+oppMale
  [59] l_shield+sZ0+leftGuard+eZ0+move_forward+r_bluntWeapon+oppDog+oppMale
  [60] r_noweapon+sZ2+leftGuard+eZ2+move_forward+l_noShield+oppDog+oppMale
  [61] l_shield+sZ1+rightGuard+eZ1+move_back+r_swords+oppDog+oppMale
  [62] l_shield+sZ0+leftGuard+eZ0+move_left+r_swords+oppDog+oppMale
  [63] l_shield+sZ2+leftGuard+eZ2+move_right+r_bluntWeapon+oppDog+oppMale
  [64] sZ5+rightGuard+eZ5+move_right+r_shortSwords+l_noShield+oppDog+oppMale
  [65] l_shield+sZ1+rightGuard+eZ1+move_forward+r_bluntWeapon+oppDog+oppMale
  [66] sZ5+rightGuard+eZ5+move_left+r_shortSwords+l_noShield+oppDog+oppMale
  [67] l_shield+sZ0+leftGuard+eZ0+move_back+r_bluntWeapon+oppDog+oppMale
  [68] sZ0+leftGuard+eZ0+move_forward+r_shortSwords+l_noShield+oppDog+oppMale
  [69] sZ0+leftGuard+eZ0+move_right+r_bluntWeapon+l_noShield+oppDog+oppMale
  [70] r_noweapon+sZ1+rightGuard+eZ1+move_right+l_noShield+oppDog+oppMale
  [71] sZ1+rightGuard+eZ1+move_left+r_bluntWeapon+l_noShield+oppDog+oppMale
  [72] l_shield+sZ5+rightGuard+eZ5+move_back+r_swords+oppDog+oppMale
  [73] l_shield+sZ2+leftGuard+eZ2+move_back+r_bluntWeapon+oppDog+oppMale
  [74] r_noweapon+sZ2+leftGuard+eZ2+move_left+l_noShield+oppDog+oppMale
  [75] r_noweapon+sZ5+rightGuard+eZ5+move_left+l_noShield+oppDog+oppMale
  [76] l_shield+sZ0+leftGuard+eZ0+move_left+r_bluntWeapon+oppDog+oppMale
  [77] sZ1+rightGuard+eZ1+move_forward+r_shortSwords+l_noShield+oppDog+oppMale
  [78] sZ0+leftGuard+eZ0+move_left+r_bluntWeapon+l_noShield+oppDog+oppMale
  [79] l_shield+sZ2+leftGuard+eZ2+move_left+r_swords+oppDog+oppMale
  [80] l_shield+sZ5+rightGuard+eZ5+move_left+r_swords+oppDog+oppMale
  [81] r_noweapon+sZ5+rightGuard+eZ5+move_back+l_noShield+oppDog+oppMale
  [82] l_shield+sZ0+leftGuard+eZ0+move_right+r_bluntWeapon+oppDog+oppMale
  [83] r_noweapon+sZ1+rightGuard+eZ1+move_left+l_noShield+oppDog+oppMale
  [84] r_noweapon+sZ2+leftGuard+eZ2+move_right+l_noShield+oppDog+oppMale
  [85] sZ2+leftGuard+eZ2+move_left+r_bluntWeapon+l_noShield+oppDog+oppMale
  [86] sZ1+rightGuard+eZ1+move_back+r_shortSwords+l_noShield+oppDog+oppMale
  [87] sZ1+rightGuard+eZ1+move_right+r_shortSwords+l_noShield+oppDog+oppMale
  [88] sZ2+leftGuard+eZ2+move_right+r_bluntWeapon+l_noShield+oppDog+oppMale
  [89] l_shield+sZ0+leftGuard+eZ0+move_right+r_swords+oppDog+oppMale
  [90] sZ5+rightGuard+eZ5+move_forward+r_shortSwords+l_noShield+oppDog+oppMale
  [91] sZ2+leftGuard+eZ2+move_back+r_shortSwords+l_noShield+oppDog+oppMale
  [92] sZ2+leftGuard+eZ2+move_back+r_bluntWeapon+l_noShield+oppDog+oppMale
  [93] sZ1+rightGuard+eZ1+move_forward+r_bluntWeapon+l_noShield+oppDog+oppMale
  [94] l_shield+sZ0+leftGuard+eZ0+move_back+r_swords+oppDog+oppMale
  [95] sZ2+leftGuard+eZ2+move_left+r_shortSwords+l_noShield+oppDog+oppMale
  [96] r_noweapon+sZ2+leftGuard+eZ2+move_back+l_noShield+oppDog+oppMale
  [97] sZ2+leftGuard+eZ2+move_forward+r_bluntWeapon+l_noShield+oppDog+oppMale
