======================================================================
== /Users/douglas.mason/Documents/GitHub/kcd2_gear_picker/kcd2-ref/Libs/Tables/rpg/soul__utokNaMalesov.tbl
  [81] utokNaMalesov_deadBody_2
  [82] utokNaMalesov_outerCourtyardShooter_5
  [83] char_GENERIC_MAN_SOLDIER_30
  [84] utokNaMalesov_additionalVillageReinforcement_5
  [85] utokNaMalesov_outerCourtyardDefender_6
  [86] utokNaMalesov_brabantSoldier_10
  [87] utokNaMalesov_malesovTowerDefender_2
  [88] char_GENERIC_MAN_SOLDIER_26
  [89] utokNaMalesov_outerCourtyardShooter_3
  [90] utokNaMalesov_outerCourtyardShooter_8
  [91] utokNaMalesov_corpseStumble
  [92] char_GENERIC_MAN_COMMONER_10
  [93] utokNaMalesov_outerCourtyardDefender_15
  [94] char_GENERIC_MAN_SOLDIER_03
  [95] utokNaMalesov_outerCourtyardDefender_18
  [96] char_GENERIC_MAN_SOLDIER_01
  [97] utokNaMalesov_outerCourtyardDefender_10
  [98] utokNaMalesov_brabantSoldier_4
  [99] utokNaMalesov_deadBody_5
  [100] utokNaMalesov_outerCourtyardShooter_4
  [101] char_GENERIC_MAN_SOLDIER_10
  [102] utokNaMalesov_outerCourtyardDefender_1
  [103] char_GENERIC_MAN_SOLDIER_28
  [104] utokNaMalesov_outerCourtyardDefender_7
  [105] utokNaMalesov_deadBody_4
  [106] utokNaMalesov_outerCourtyardDefender_3
  [107] char_GENERIC_MAN_SOLDIER_23
