======================================================================
== /Users/douglas.mason/Documents/GitHub/kcd2_gear_picker/kcd2-ref/Libs/Tables/rpg/soul__stealthMiseZaJindru.tbl
  [74] stealthMiseZaJindru_aulitzsSoldier_48
  [75] stealthMiseZaJindru_aulitzsSoldier_30
  [76] stealthMiseZaJindru_horse_1
  [77] stealthMiseZaJindru_aulitzsSoldier_40
  [78] stealthMiseZaJindru_aulitzsSoldier_20
  [79] char_GENERIC_MAN_SOLDIER_17
  [80] stealthMiseZaJindru_aulitzsSoldier_26
  [81] stealthMiseZaJindru_aulitzsSoldier_65
  [82] stealthMiseZaJindru_aulitzsSoldier_45
  [83] stealthMiseZaJindru_aulitzsSoldier_83
  [84] stealthMiseZaJindru_aulitzsSoldier_82
  [85] stealthMiseZaJindru_aulitzsSoldier_58
  [86] stealthMiseZaJindru_aulitzsSoldier_44
  [87] stealthMiseZaJindru_aulitzsSoldier_3
  [88] stealthMiseZaJindru_aulitzsSoldier_79
  [89] stealthMiseZaJindru_aulitzsSoldier_74
  [90] stealthMiseZaJindru_aulitzsSoldier_75
  [91] stealthMiseZaJindru_aulitzsSoldier_18
  [92] stealthMiseZaJindru_aulitzsSoldier_85
  [93] stealthMiseZaJindru_aulitzsSoldier_62
  [94] stealthMiseZaJindru_aulitzsSoldier_10
  [95] stealthMiseZaJindru_aulitzsSoldier_34
  [96] stealthMiseZaJindru_aulitzsSoldier_77
  [97] stealthMiseZaJindru_aulitzsSoldier_67
  [98] stealthMiseZaJindru_aulitzsSoldier_36
  [99] stealthMiseZaJindru_aulitzsSoldier_2
  [100] stealthMiseZaJindru_aulitz
  [101] stealthMiseZaJindru_aulitzsSoldier_81
  [102] stealthMiseZaJindru_aulitzsSoldier_28
  [103] stealthMiseZaJindru_aulitzsSoldier_52
  [104] stealthMiseZaJindru_aulitzsSoldier_71
  [105] stealthMiseZaJindru_horse_4
  [106] stealthMiseZaJindru_aulitzsSoldier_15
  [107] stealthMiseZaJindru_aulitzsSoldier_69
  [108] stealthMiseZaJindru_aulitzsSoldier_64
  [109] stealthMiseZaJindru_aulitzsSoldier_46
  [110] stealthMiseZaJindru_aulitzsSoldier_41
  [111] stealthMiseZaJindru_aulitzsSoldier_54
  [112] stealthMiseZaJindru_aulitzsSoldier_53
