======================================================================
== /Users/douglas.mason/Documents/GitHub/kcd2_gear_picker/kcd2-ref/Libs/Tables/rpg/soul__zoufalaObranaZaBohutu.tbl
  [65] zoufalaObranaZaBohutu_attackers_horseRidersHorse_1
  [66] kutnohorsko_settlements_suchdol_soldiers_zoufalaObranaZaBohutuNeutral
  [67] zoufalaObranaZaBohutu_defenders_courtyardSoldier_7
  [68] zoufalaObranaZaBohutu_defenders_siegeFinaleActor_7
  [69] zoufalaObranaZaBohutu_attackers_frontWallMeleeMan_6
  [70] zoufalaObranaZaBohutu_attackers_backWallShooter_3
  [71] zoufalaObranaZaBohutu_attackers_frontWallStationaryShooter_9
  [72] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_97
  [73] zoufalaObranaZaBohutu_attackers_frontWallMeleeMan_1
  [74] zoufalaObranaZaBohutu_attackers_frontWallStationaryShooter_18
  [75] zoufalaObranaZaBohutu_defenders_siegeFinaleActor_9
  [76] zoufalaObranaZaBohutu_attackers_deadBody_7
  [77] zoufalaObranaZaBohutu_attackers_frontWallLadderManPrazan
  [78] zoufalaObranaZaBohutu_attackers_horseRider_2
  [79] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_28
  [80] zoufalaObranaZaBohutu_attackers_horseRidersHorse_3
  [81] zoufalaObranaZaBohutu_defenders_gatePaviseMan_3
  [82] zoufalaObranaZaBohutu_defenders_backWallShooter_3
  [83] zoufalaObranaZaBohutu_defenders_courtyardSoldier_2
  [84] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_94
  [85] zoufalaObranaZaBohutu_defenders_frontWallShooter_5
  [86] zoufalaObranaZaBohutu_backWallShooterDefender_4
  [87] zoufalaObranaZaBohutu_attackers_frontWallAxeMan_2
  [88] char_GENERIC_MAN_SOLDIER_05
  [89] zoufalaObranaZaBohutu_defenders_questPartShooter_7
  [90] char_GENERIC_MAN_SOLDIER_14
  [91] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_44
  [92] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_68
  [93] zoufalaObranaZaBohutu_backWallShooterDefender_2
  [94] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_92
  [95] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_47
  [96] zoufalaObranaZaBohutu_defenders_siegeFinaleActor_6
  [97] char_GENERIC_MAN_SOLDIER_38
  [98] zoufalaObranaZaBohutu_attackers_questPartShooter_6
  [99] zoufalaObranaZaBohutu_defenders_backWallShooter_2
  [100] zoufalaObranaZaBohutu_horse
  [101] kutnohorsko_enemies_stealthMiseZaJindruAulitzsSoldiers
  [102] zoufalaObranaZaBohutu_attackers_frontWallMovingSoldier_2
  [103] zoufalaObranaZaBohutu_attackers_questPartShooter_8
  [104] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_74
  [105] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_65
  [106] zoufalaObranaZaBohutu_attackers_sideWallPaviseMan_12
  [107] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_82
  [108] zoufalaObranaZaBohutu_attackers_deadBody_2
  [109] zoufalaObranaZaBohutu_attackers_frontWallMeleeMan_2
  [110] zoufalaObranaZaBohutu_attackers_frontWallMovingSoldier_3
  [111] zoufalaObranaZaBohutu_defenders_siegeFinaleActor_2
  [112] char_GENERIC_MAN_SOLDIER_20
  [113] zoufalaObranaZaBohutu_attackers_frontWallStationaryShooter_22
  [114] zoufalaObranaZaBohutu_attackers_deadBody_4
  [115] zoufalaObranaZaBohutu_attackers_deadBody_5
  [116] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_73
  [117] zoufalaObranaZaBohutu_attackers_horseRider_3
  [118] char_GENERIC_MAN_SOLDIER_16
  [119] zoufalaObranaZaBohutu_attackers_frontWallStationaryShooter_10
  [120] zoufalaObranaZaBohutu_attackers_questPartShooter_5
  [121] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_90
  [122] zoufalaObranaZaBohutu_attackers_soldierInCover_2
  [123] zoufalaObranaZaBohutu_attackers_frontWallAxeMan_5
  [124] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_76
  [125] zoufalaObranaZaBohutu_defenders_dyingSoldier
  [126] zoufalaObranaZaBohutu_attackers_questPartShooter_4
  [127] zoufalaObranaZaBohutu_attackers_frontWallAxeMan_8
  [128] zoufalaObranaZaBohutu_defenders_sideWallSubstitute_3
  [129] zoufalaObranaZaBohutu_attackers_frontWallStationaryShooter_11
  [130] zoufalaObranaZaBohutu_attackers_horseRider_1
  [131] zoufalaObranaZaBohutu_defenders_siegeFinaleActor_5
  [132] zoufalaObranaZaBohutu_attackers_frontWallMeleeMan_7
  [133] zoufalaObranaZaBohutu_defenders_gatePaviseMan_4
  [134] zoufalaObranaZaBohutu_attackers_backWallShooter_1
  [135] zoufalaObranaZaBohutu_defenders_sideWallStationary_3
  [136] char_GENERIC_MAN_SOLDIER_27
  [137] zoufalaObranaZaBohutu_defenders_backWallShooter_1
  [138] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_60
  [139] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_84
  [140] zoufalaObranaZaBohutu_defenders_siegeFinaleActor_8
  [141] zoufalaObranaZaBohutu_attackers_frontWallStationaryShooter_19
  [142] zoufalaObranaZaBohutu_attackers_sideWallPaviseMan_7
  [143] zoufalaObranaZaBohutu_attackers_frontWallStationaryShooter_3
  [144] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_7
  [145] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_22
  [146] zoufalaObranaZaBohutu_attackers_horseRidersHorse_4
  [147] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_50
  [148] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_96
  [149] zoufalaObranaZaBohutu_defenders_injuredSoldier
  [150] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_18
  [151] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_64
  [152] zoufalaObranaZaBohutu_attackers_questPartShooter_7
  [153] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_80
  [154] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_70
  [155] zoufalaObranaZaBohutu_attackers_frontWallAssaultShooter_2
  [156] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_31
  [157] zoufalaObranaZaBohutu_defenders_sideWallStationary_5
  [158] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_57
  [159] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_52
  [160] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_35
  [161] zoufalaObranaZaBohutu_attackers_sideWallPaviseMan_4
  [162] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_19
  [163] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_16
  [164] zoufalaObranaZaBohutu_attackers_sideWallPaviseMan_13
  [165] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_23
  [166] zoufalaObranaZaBohutu_defenders_siegeFinaleActor_3
  [167] zoufalaObranaZaBohutu_defenders_exhaustedSoldier
  [168] zoufalaObranaZaBohutu_attackers_frontWallAxeMan_7
  [169] zoufalaObranaZaBohutu_defenders_questPartShooter_6
  [170] zoufalaObranaZaBohutu_defenders_courtyardSoldier_6
  [171] zoufalaObranaZaBohutu_defenders_frontWallShooter_3
  [172] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_78
  [173] char_GENERIC_MAN_SOLDIER_24
  [174] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_13
  [175] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_48
  [176] zoufalaObranaZaBohutu_attackers_questPartShooter_1
  [177] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_66
  [178] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_42
  [179] zoufalaObranaZaBohutu_attackers_sideWallPaviseMan_1
  [180] zoufalaObranaZaBohutu_attackers_frontWallStationaryShooter_8
  [181] zoufalaObranaZaBohutu_defenders_siegeFinaleActor_4
  [182] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_85
  [183] zoufalaObranaZaBohutu_attackers_frontWallStationaryShooter_25
  [184] zoufalaObranaZaBohutu_defenders_gatePaviseMan_5
  [185] zoufalaObranaZaBohutu_attackers_deadBody_6
  [186] zoufalaObranaZaBohutu_attackers_sideWallPaviseMan_11
  [187] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_8
  [188] zoufalaObranaZaBohutu_defenders_sideWallStationary_4
  [189] zoufalaObranaZaBohutu_attackers_deadBody_3
  [190] zoufalaObranaZaBohutu_attackers_frontWallMeleeMan_8
  [191] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_56
  [192] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_67
  [193] zoufalaObranaZaBohutu_attackers_frontWallStationaryShooter_13
  [194] zoufalaObranaZaBohutu_attackers_frontWallAssaultShooter_4
  [195] zoufalaObranaZaBohutu_attackers_frontWallStationaryShooter_16
  [196] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_17
  [197] zoufalaObranaZaBohutu_defenders_sideWallSubstitute_4
  [198] zoufalaObranaZaBohutu_backWallShooterDefender_1
  [199] zoufalaObranaZaBohutu_defenders_sideWallStationary_6
  [200] zoufalaObranaZaBohutu_attackers_sideWallPaviseMan_16
  [201] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_81
  [202] zoufalaObranaZaBohutu_attackers_frontWallStationaryShooter_2
  [203] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_10
  [204] zoufalaObranaZaBohutu_attackers_sideWallPaviseMan_15
  [205] zoufalaObranaZaBohutu_attackers_frontWallStationaryShooter_5
  [206] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_75
  [207] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_46
  [208] zoufalaObranaZaBohutu_attackers_frontWallMeleeMan_5
  [209] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_1
  [210] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_53
  [211] zoufalaObranaZaBohutu_backWallShooterDefender_3
  [212] zoufalaObranaZaBohutu_defenders_courtyardSoldier_4
  [213] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_63
  [214] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_98
  [215] zoufalaObranaZaBohutu_defenders_frontWallShooter_2
  [216] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_26
  [217] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_91
  [218] zoufalaObranaZaBohutu_attackers_frontWallAxeMan_3
  [219] zoufalaObranaZaBohutu_attackers_sideWallPaviseMan_5
  [220] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_4
  [221] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_69
  [222] zoufalaObranaZaBohutu_defenders_questPartShooter_4
  [223] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_25
  [224] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_39
  [225] zoufalaObranaZaBohutu_defenders_questPartShooter_1
  [226] zoufalaObranaZaBohutu_attackers_frontWallAssaultShooter_3
  [227] zoufalaObranaZaBohutu_defenders_sideWallSubstitute_2
  [228] zoufalaObranaZaBohutu_attackers_sideWallPaviseMan_14
  [229] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_49
  [230] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_93
  [231] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_89
  [232] zoufalaObranaZaBohutu_attackers_horseRidersHorse_2
  [233] zoufalaObranaZaBohutu_defenders_gatePaviseMan_2
  [234] zoufalaObranaZaBohutu_attackers_frontWallStationaryShooter_20
  [235] zoufalaObranaZaBohutu_attackers_backWallShooter_2
  [236] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_5
  [237] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_51
  [238] zoufalaObranaZaBohutu_defenders_courtyardSoldier_1
  [239] zoufalaObranaZaBohutu_defenders_sideWallStationary_1
  [240] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_37
  [241] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_100
  [242] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_21
  [243] zoufalaObranaZaBohutu_attackers_questPartShooter_9
  [244] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_36
  [245] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_38
  [246] zoufalaObranaZaBohutu_defenders_sideWallReinforcement_2
  [247] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_9
  [248] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_14
  [249] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_86
  [250] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_20
  [251] zoufalaObranaZaBohutu_defenders_backWallShooter_4
  [252] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_62
  [253] zoufalaObranaZaBohutu_defenders_frontWallShooter_1
  [254] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_95
  [255] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_6
  [256] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_87
  [257] zoufalaObranaZaBohutu_attackers_frontWallStationaryShooter_4
  [258] zoufalaObranaZaBohutu_attackers_frontWallStationaryShooter_15
  [259] zoufalaObranaZaBohutu_defenders_sideWallReinforcement_1
  [260] zoufalaObranaZaBohutu_defenders_sideWallStationary_2
  [261] zoufalaObranaZaBohutu_attackers_frontWallCommander
  [262] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_54
  [263] zoufalaObranaZaBohutu_defenders_scaredCivilian
  [264] char_GENERIC_MAN_COMMONER_12
  [265] zoufalaObranaZaBohutu_attackers_sideWallPaviseMan_3
  [266] zoufalaObranaZaBohutu_attackers_frontWallStationaryShooter_12
  [267] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_45
  [268] zoufalaObranaZaBohutu_attackers_frontWallStationaryShooter_14
  [269] zoufalaObranaZaBohutu_attackers_frontWallMeleeMan_4
  [270] zoufalaObranaZaBohutu_attackers_frontWallStationaryShooter_21
  [271] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_40
  [272] zoufalaObranaZaBohutu_defenders_gatePaviseMan_7
  [273] zoufalaObranaZaBohutu_attackers_frontWallStationaryShooter_24
  [274] zoufalaObranaZaBohutu_attackers_questPartShooter_2
  [275] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_33
  [276] zoufalaObranaZaBohutu_defenders_questPartShooter_5
  [277] zoufalaObranaZaBohutu_attackers_frontWallStationaryShooter_23
  [278] zoufalaObranaZaBohutu_attackers_sideWallPaviseMan_8
  [279] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_12
  [280] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_34
  [281] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_99
  [282] zoufalaObranaZaBohutu_attackers_sideWallPaviseMan_9
  [283] zoufalaObranaZaBohutu_attackers_frontWallStationaryShooter_1
  [284] zoufalaObranaZaBohutu_defenders_courtyardSoldier_5
  [285] zoufalaObranaZaBohutu_attackers_frontWallMeleeMan_3
  [286] zoufalaObranaZaBohutu_defenders_questPartShooter_3
  [287] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_11
  [288] zoufalaObranaZaBohutu_defenders_courtyardSoldier_3
  [289] zoufalaObranaZaBohutu_attackers_questPartShooter_3
  [290] zoufalaObranaZaBohutu_defenders_gatePaviseMan_8
  [291] zoufalaObranaZaBohutu_defenders_gatePaviseMan_6
  [292] zoufalaObranaZaBohutu_defenders_sideWallSubstitute_1
  [293] zoufalaObranaZaBohutu_defenders_frontWallShooter_4
  [294] zoufalaObranaZaBohutu_attackers_sideWallLadderMan_71
  [295] zoufalaObranaZaBohutu_attackers_horseRider_4
  [296] zoufalaObranaZaBohutu_attackers_soldierInCover_1
  [297] zoufalaObranaZaBohutu_attackers_frontWallStationaryShooter_17
