======================================================================
== /Users/douglas.mason/Documents/GitHub/kcd2_gear_picker/kcd2-ref/Libs/Tables/rpg/soul__vezniNaTroskach.tbl
  [82] vezniNaTroskach_tapo_soldier_62
  [83] vezniNaTroskach_tapo_soldier_10
  [84] vezniNaTroskach_tapo_dog_3
  [85] vezniNaTroskach_tapo_soldier_39
  [86] char_GENERIC_MAN_SOLDIER_14
  [87] vezniNaTroskach_tapo_soldier_12
  [88] vezniNaTroskach_tapo_soldier_30
  [89] char_GENERIC_MAN_SOLDIER_07
  [90] vezniNaTroskach_tapo_soldier_80
  [91] vezniNaTroskach_apolenaHorse17
  [92] vezniNaTroskach_tapo_soldier_48
  [93] char_GENERIC_MAN_SOLDIER_22
  [94] vezniNaTroskach_tapo_soldier_55
  [95] vezniNaTroskach_apolenaHorse1
  [96] vezniNaTroskach_tapo_soldier_44
  [97] vezniNaTroskach_tapo_soldier_82
  [98] vezniNaTroskach_tapo_soldier_69
  [99] vezniNaTroskach_tapo_soldier_76
  [100] vezniNaTroskach_tapo_soldier_13
  [101] char_GENERIC_MAN_SOLDIER_17
  [102] vezniNaTroskach_ttro_babaSoldier_1
  [103] vezniNaTroskach_apolenaHorse16
  [104] vezniNaTroskach_tapo_soldier_52
  [105] vezniNaTroskach_tapo_dog_2
  [106] vezniNaTroskach_tapo_soldier_77
  [107] vezniNaTroskach_tapo_soldier_31
  [108] vezniNaTroskach_ttro_babaSoldier_4
  [109] vezniNaTroskach_tapo_soldier_50
  [110] vezniNaTroskach_tapo_soldier_42
  [111] vezniNaTroskach_tapo_soldier_6
  [112] vezniNaTroskach_apolenaHorse12
  [113] vezniNaTroskach_tapo_soldier_26
  [114] vezniNaTroskach_tapo_soldier_56
  [115] vezniNaTroskach_tapo_soldier_24
  [116] vezniNaTroskach_apolenaHorse4
  [117] vezniNaTroskach_tapo_soldier_91
  [118] vezniNaTroskach_tapo_soldier_20
  [119] vezniNaTroskach_tapo_soldier_29
  [120] vezniNaTroskach_tapo_soldier_19
  [121] vezniNaTroskach_tapo_soldier_63
  [122] vezniNaTroskach_ttro_babaSoldier_2
  [123] char_GENERIC_MAN_SOLDIER_32
  [124] vezniNaTroskach_tapo_soldier_83
  [125] vezniNaTroskach_sokoliar_1
  [126] char_GENERIC_MAN_GUARD_05
  [127] vezniNaTroskach_apolenaHorse6
  [128] vezniNaTroskach_tapo_soldier_27
  [129] vezniNaTroskach_sokoliar_2
  [130] vezniNaTroskach_tapo_soldier_86
  [131] vezniNaTroskach_tapo_soldier_49
  [132] vezniNaTroskach_tapo_soldier_53
  [133] vezniNaTroskach_tapo_soldier_36
  [134] vezniNaTroskach_tapo_soldier_60
  [135] vezniNaTroskach_tapo_soldier_28
  [136] vezniNaTroskach_tapo_soldier_57
  [137] vezniNaTroskach_tapo_soldier_64
  [138] vezniNaTroskach_apolenaHorse7
  [139] vezniNaTroskach_tapo_soldier_16
  [140] char_GENERIC_MAN_SOLDIER_05
  [141] vezniNaTroskach_ttro_pannaSoldier_2
  [142] vezniNaTroskach_apolenaHorse8
  [143] vezniNaTroskach_apolenaHorse15
  [144] vezniNaTroskach_tapo_dog_1
  [145] vezniNaTroskach_tapo_soldier_14
  [146] vezniNaTroskach_tapo_soldierHorse2
  [147] vezniNaTroskach_tapo_soldier_9
  [148] vezniNaTroskach_tapo_soldier_59
  [149] vezniNaTroskach_tapo_soldier_33
  [150] vezniNaTroskach_tapo_soldier_22
  [151] vezniNaTroskach_tapo_soldier_89
  [152] vezniNaTroskach_tapo_dog_4
  [153] vezniNaTroskach_tapo_soldier_5
  [154] vezniNaTroskach_tapo_soldier_90
  [155] vezniNaTroskach_tapo_soldier_21
  [156] vezniNaTroskach_tapo_soldierHorse1
  [157] vezniNaTroskach_apolenaHorse2
  [158] vezniNaTroskach_apolenaHorse10
