======================================================================
== C:\GitHub\kcd2_gear_picker\kcd2-ref\Libs\Tables\rpg\soul__nebakovObrana.tbl
  [85] nebakovObrana_beforeBattleRangedGroup_17
  [86] nebakovObrana_attackerGroupB_14
  [87] nebakovObrana_attackerGroupF_6
  [88] nebakovObrana_attackerGroupB_17
  [89] char_GENERIC_MAN_SOLDIER_10
  [90] nebakovObrana_attackerGroupC_15
  [91] char_GENERIC_MAN_SOLDIER_13
  [92] nebakovObrana_attackerGroupC_14
  [93] nebakovObrana_freeRanger_rifle_1
  [94] char_GENERIC_MAN_SOLDIER_27
  [95] nebakovObrana_attackerGroupB_ladderGuy_5
  [96] nebakovObrana_attackerGroupF_3
  [97] nebakovObrana_attackerGroupE_9
  [98] nebakovObrana_attackerGroupE_5
  [99] char_GENERIC_MAN_SOLDIER_12
  [100] nebakovObrana_attackerGroupB_ladderGuy_3
  [101] nebakovObrana_freeRanger_crossbow_2
  [102] nebakovObrana_attackerGroupA_1
  [103] nebakovObrana_attackerGroupD_6
  [104] nebakovObrana_attackerGroupA_2
  [105] nebakovObrana_attackerGroupC_10
  [106] nebakovObrana_beforeBattleRangedGroup_rifle_3
  [107] nebakovObrana_attackerGroupC_4
  [108] nebakovObrana_attackerGroupC_2a
  [109] char_GENERIC_MAN_SOLDIER_07
  [110] nebakovObrana_freeRanger_bow_3
  [111] nebakovObrana_attackerGroupB_11
  [112] nebakovObrana_attackerGroupB_8
  [113] nebakovObrana_attackerGroupF_1
  [114] nebakovObrana_attackerGroupB_15
  [115] nebakovObrana_attackerGroupB_24
  [116] nebakovObrana_attackerGroupB_3
  [117] nebakovObrana_attackerGroupC_5a
  [118] nebakovObrana_attackerGroupB_9
  [119] nebakovObrana_freeRanger_rifle_10
  [120] nebakovObrana_beforeBattleRangedGroup_bow_6
  [121] nebakovObrana_freeRanger_bow_9
  [122] nebakovObrana_attackerGroupC_1
  [123] nebakovObrana_attackerGroupF_2
  [124] nebakovObrana_attackerGroupC_13
  [125] nebakovObrana_attackerGroupF_12
  [126] nebakovObrana_attackerGroupB_19
  [127] nebakovObrana_attackerGroupB_5
  [128] nebakovObrana_attackerGroupB_20
  [129] nebakovObrana_attackerGroupB_28
  [130] nebakovObrana_attackerGroupA_test_1
  [131] nebakovObrana_attackerGroupC_9
  [132] nebakovObrana_attackerGroupF_9
  [133] nebakovObrana_attackerGroupA_3
  [134] nebakovObrana_freeRanger_bow_4
  [135] nebakovObrana_attackerGroupF_8old
  [136] nebakovObrana_attackerGroupC_1a
  [137] nebakovObrana_attackerGunCrew_5
  [138] nebakovObrana_attackerGroupD_3
  [139] nebakovObrana_beforeBattleRangedGroup_rifle_8
  [140] char_GENERIC_MAN_SOLDIER_28
  [141] nebakovObrana_attackerGroupE_1
  [142] nebakovObrana_beforeBattleRangedGroup_18
  [143] nebakovObrana_attackerGroupD_2
  [144] nebakovObrana_attackerGroupF_9old
  [145] nebakovObrana_beforeBattleRangedGroup_21
  [146] nebakovObrana_deadBody_1
  [147] nebakovObrana_attackerGroupD_7
  [148] nebakovObrana_attackerGroupF_4
  [149] nebakovObrana_attackerGroupC_6
  [150] nebakovObrana_attackerGunCrew_4
  [151] nebakovObrana_beforeBattleRangedGroup_bow_4
  [152] nebakovObrana_attackerGroupF_10
  [153] nebakovObrana_attackerGroupE_8
  [154] nebakovObrana_attackerGroupC_9a
  [155] nebakovObrana_freeRanger_bow_6
  [156] nebakovObrana_beforeBattleRangedGroup_crossbow_1
  [157] nebakovObrana_attackerGroupC_4a
  [158] nebakovObrana_attackerGroupC_5
  [159] nebakovObrana_attackerGroupF_11
  [160] nebakovObrana_attacker_tobi
  [161] nebakovObrana_beforeBattleRangedGroup_bow_15
  [162] nebakovObrana_attackerGroupE_3
  [163] nebakovObrana_attackerGroupF_7
  [164] nebakovObrana_attackerGroupB_27
  [165] nebakovObrana_attackerGroupD_8
  [166] nebakovObrana_attackerGroupB_26
  [167] nebakovObrana_attackerGroupD_9
  [168] nebakovObrana_attackerGroupB_16
  [169] nebakovObrana_attackerGroupB_25
  [170] nebakovObrana_attackerGroupC_3a
  [171] nebakovObrana_beforeBattleRangedGroup_crossbow_5
  [172] nebakovObrana_attackerGroupB_29
  [173] nebakovObrana_attackerGroupE_2
  [174] nebakovObrana_freeRanger_crossbow_5
  [175] nebakovObrana_attackerGroupC_12
  [176] nebakovObrana_beforeBattleRangedGroup_crossbow_16
  [177] nebakovObrana_attackerGroupB_10
  [178] nebakovObrana_attackerGroupA_ladderGuy_1
  [179] nebakovObrana_attackerGroupA_10
  [180] nebakovObrana_attackerGroupD_10
  [181] nebakovObrana_beforeBattleRangedGroup_rifle_11
  [182] nebakovObrana_beforeBattleRangedGroup_bow_14
  [183] nebakovObrana_attackerGroupB_4
  [184] nebakovObrana_attackerGroupB_22
