======================================================================
== /Users/douglas.mason/Documents/GitHub/kcd2_gear_picker/kcd2-ref/Libs/Tables/rpg/soul__karavanyVeSvete.tbl
  [78] karavanyVeSvete_civilianCaravan_civilian_woman_3
  [79] karavanyVeSvete_merchantCaravan_guard_1
  [80] karavanyVeSvete_civilianCaravan_civilian_man_2
  [81] karavanyVeSvete_civilianCaravan_civilian_man_6
  [82] karavanyVeSvete_horse_10
  [83] karavanyVeSvete_horse_7
  [84] karavanyVeSvete_civilianCaravan_collier_2
  [85] karavanyVeSvete_civilianCaravan_farmer_man_2
  [86] karavanyVeSvete_armedCaravan_german_4
  [87] char_GENERIC_MAN_GERMAN_04
  [88] karavanyVeSvete_horse_6
  [89] karavanyVeSvete_civilianCaravan_mason_2
  [90] karavanyVeSvete_civilianCaravan_farmer_woman_1
  [91] char_GENERIC_WOMAN_TOWNSWOMAN_02
  [92] karavanyVeSvete_armedCaravan_soldier_2
  [93] karavanyVeSvete_civilianCaravan_farmer_woman_3
  [94] char_GENERIC_WOMAN_TOWNSWOMAN_04
  [95] karavanyVeSvete_civilianCaravan_civilian_woman_2
  [96] karavanyVeSvete_armedCaravan_german_3
  [97] karavanyVeSvete_horse_4
  [98] karavanyVeSvete_civilianCaravan_collier_4
  [99] karavanyVeSvete_armedCaravan_soldier_8
