======================================================================
== C:\GitHub\kcd2_gear_picker\kcd2-ref\Libs\Tables\rpg\soul__rutinaAVypad.tbl
  [81] rutinaAVypad_enemy_shieldBearer_7
  [82] char_GENERIC_MAN_SOLDIER_11
  [83] rutinaAVypad_enemy_extras_soldier_25
  [84] char_GENERIC_MAN_SOLDIER_02
  [85] rutinaAVypad_friend_extras_assaultGroup_horse_4
  [86] rutinaAVypad_enemy_shieldBearer_1
  [87] rutinaAVypad_enemy_extras_13
  [88] char_GENERIC_MAN_SOLDIER_31
  [89] rutinaAVypad_enemy_extras_mountedPatrol_horse_3
  [90] rutinaAVypad_enemy_extras_archers_2
  [91] char_GENERIC_MAN_SOLDIER_19
  [92] rutinaAVypad_enemy_extras_wounded_2
  [93] char_GENERIC_MAN_SOLDIER_16
  [94] rutinaAVypad_enemy_extras_halberdPatrol_9
  [95] rutinaAVypad_enemy_gunner_2
  [96] rutinaAVypad_enemy_extras_archers_5
  [97] char_GENERIC_MAN_SOLDIER_22
  [98] rutinaAVypad_enemy_extras_soldier_9
  [99] rutinaAVypad_enemy_extras_guardArcher_5
  [100] rutinaAVypad_enemy_extras_patrolGroup_4
  [101] rutinaAVypad_enemy_extras_guardArcher_2
  [102] char_GENERIC_MAN_SOLDIER_21
  [103] rutinaAVypad_friend_wounded
  [104] char_GENERIC_MAN_COMMONER_18
  [105] rutinaAVypad_enemy_extras_soldier_13
  [106] rutinaAVypad_enemy_extras_archers_8
  [107] rutinaAVypad_enemy_digger_3
  [108] char_GENERIC_MAN_SOLDIER_26
  [109] rutinaAVypad_enemy_extras_guard_2
  [110] rutinaAVypad_friend_extras_6
  [111] char_GENERIC_MAN_COMMONER_20
  [112] rutinaAVypad_enemy_extras_halberdPatrol_12
  [113] rutinaAVypad_enemy_extras_9
  [114] rutinaAVypad_enemy_extras_patrolGroup_6
  [115] rutinaAVypad_friend_extras_assaultGroup_horse_2
  [116] rutinaAVypad_enemy_shieldBearer_4
  [117] rutinaAVypad_enemy_extras_archers_7
  [118] rutinaAVypad_friend_extras_4
  [119] rutinaAVypad_friend_guard_8
  [120] char_GENERIC_MAN_GUARD_12
  [121] rutinaAVypad_enemy_extras_10
  [122] rutinaAVypad_enemy_attacker_4
  [123] rutinaAVypad_enemy_extrasdeadBody_7
  [124] rutinaAVypad_enemy_extras_soldier_20
  [125] rutinaAVypad_friend_archer_3
  [126] rutinaAVypad_friend_extras_14
  [127] char_GENERIC_MAN_COMMONER_06
  [128] rutinaAVypad_enemy_extras_1
  [129] rutinaAVypad_friend_ptacekMan_5
  [130] char_GENERIC_MAN_COMMONER_13
  [131] rutinaAVypad_friend_extras_1
  [132] rutinaAVypad_friend_archer_5
  [133] char_GENERIC_MAN_COMMONER_08
  [134] rutinaAVypad_enemy_digger_5
  [135] rutinaAVypad_enemy_extras_soldier_10
  [136] char_GENERIC_MAN_SOLDIER_17
  [137] rutinaAVypad_enemy_attacker_2
  [138] rutinaAVypad_enemy_extras_mountedPatrol_horse_2
  [139] rutinaAVypad_enemy_extras_3
  [140] rutinaAVypad_enemy_extras_halberdPatrol_1
  [141] rutinaAVypad_enemy_extras_halberdPatrol_3
  [142] rutinaAVypad_enemy_extrasdeadBody_2
  [143] rutinaAVypad_enemy_extras_soldier_12
  [144] rutinaAVypad_friend_archer_9
  [145] rutinaAVypad_friend_guard_4
  [146] rutinaAVypad_enemy_extras_8
  [147] rutinaAVypad_enemy_attacker_7
  [148] rutinaAVypad_enemy_shieldBearer_6
  [149] char_GENERIC_MAN_SOLDIER_01
  [150] rutinaAVypad_friend_guard_2
  [151] char_GENERIC_MAN_GUARD_18
  [152] rutinaAVypad_enemy_extras_soldier_5
  [153] rutinaAVypad_enemy_extrasdeadBody_5
  [154] rutinaAVypad_enemy_extras_halberdPatrol_2
  [155] rutinaAVypad_friend_extras_assaultGroup_2
  [156] char_GENERIC_MAN_COMMONER_26
  [157] rutinaAVypad_enemy_extras_archers_4
  [158] char_GENERIC_MAN_SOLDIER_05
  [159] rutinaAVypad_enemy_extras_soldier_3
  [160] rutinaAVypad_enemy_extras_halberdPatrol_13
  [161] rutinaAVypad_enemy_extras_7
  [162] rutinaAVypad_friend_extras_15
  [163] rutinaAVypad_friend_archer_4
  [164] rutinaAVypad_friend_extras_7
  [165] char_GENERIC_MAN_COMMONER_24
  [166] rutinaAVypad_enemy_extras_mountedPatrol_3
  [167] rutinaAVypad_enemy_extras_5
  [168] rutinaAVypad_friend_archer_8
  [169] char_GENERIC_MAN_COMMONER_21
  [170] rutinaAVypad_enemy_gunner_1
  [171] rutinaAVypad_enemy_archer_5
  [172] rutinaAVypad_enemy_extras_confusedSoldier_3
  [173] char_GENERIC_MAN_SOLDIER_33
  [174] rutinaAVypad_enemy_extras_mountedPatrol_horse_1
  [175] rutinaAVypad_friend_guard_1
  [176] char_GENERIC_MAN_GUARD_05
  [177] rutinaAVypad_friend_extras_12
  [178] rutinaAVypad_enemy_extras_halberdPatrol_4
  [179] rutinaAVypad_friend_archer_12
  [180] rutinaAVypad_enemy_extras_soldier_26
  [181] rutinaAVypad_friend_extras_5
  [182] rutinaAVypad_enemy_extras_halberdPatrol_14
  [183] rutinaAVypad_friend_ptacekMan_1
  [184] char_GENERIC_MAN_COMMONER_05
  [185] rutinaAVypad_enemy_extras_halberdPatrol_11
  [186] rutinaAVypad_enemy_extrasdeadBody_8
  [187] rutinaAVypad_friend_ptacekMan_3
  [188] char_GENERIC_MAN_COMMONER_07
  [189] rutinaAVypad_enemy_extras_healer_3
  [190] rutinaAVypad_enemy_extras_wounded_1
  [191] rutinaAVypad_enemy_extras_guardArcher_6
  [192] rutinaAVypad_enemy_extras_guardArcher_1
  [193] char_GENERIC_MAN_SOLDIER_25
  [194] rutinaAVypad_enemy_extras_soldier_15
  [195] rutinaAVypad_enemy_digger_1
  [196] rutinaAVypad_friend_extras_13
  [197] rutinaAVypad_friend_guard_6
  [198] char_GENERIC_MAN_GUARD_13
  [199] rutinaAVypad_enemy_extras_archers_9
  [200] rutinaAVypad_friend_guard_10
  [201] rutinaAVypad_enemy_extras_mountedPatrol_4
  [202] rutinaAVypad_enemy_extras_sackCarrying_2
  [203] char_GENERIC_MAN_SOLDIER_32
  [204] rutinaAVypad_enemy_extras_patrolGroup_5
  [205] rutinaAVypad_enemy_shieldBearer_10
  [206] char_GENERIC_MAN_SOLDIER_20
  [207] rutinaAVypad_enemy_extras_guardArcher_8
  [208] rutinaAVypad_enemy_extras_2
  [209] rutinaAVypad_enemy_extrasdeadBody_1
  [210] rutinaAVypad_enemy_archer_3
  [211] rutinaAVypad_enemy_extras_halberdPatrol_8
  [212] rutinaAVypad_enemy_extras_soldier_14
  [213] rutinaAVypad_enemy_gunner_5
  [214] rutinaAVypad_enemy_shieldBearer_9
  [215] rutinaAVypad_enemy_extras_soldier_29
  [216] rutinaAVypad_enemy_digger_2
  [217] rutinaAVypad_enemy_extras_soldier_24
  [218] rutinaAVypad_enemy_extras_soldier_17
  [219] rutinaAVypad_enemy_extras_wounded_6
  [220] rutinaAVypad_enemy_shieldBearer_3
  [221] rutinaAVypad_enemy_extras_guardArcher_7
  [222] rutinaAVypad_enemy_extras_guard_4
  [223] rutinaAVypad_enemy_extras_soldier_21
  [224] rutinaAVypad_enemy_extras_healer_1
  [225] rutinaAVypad_enemy_extras_soldier_18
  [226] rutinaAVypad_enemy_archer_1
  [227] rutinaAVypad_enemy_extras_halberdPatrol_10
  [228] rutinaAVypad_enemy_extras_soldier_28
  [229] rutinaAVypad_enemy_extras_soldier_19
  [230] rutinaAVypad_enemy_extras_mountedPatrol_1
  [231] rutinaAVypad_enemy_extras_guard_1
  [232] rutinaAVypad_enemy_extras_guard_7
  [233] rutinaAVypad_enemy_extras_guard_3
  [234] rutinaAVypad_enemy_extras_soldier_4
  [235] rutinaAVypad_enemy_extras_archers_1
  [236] rutinaAVypad_friend_extras_8
  [237] rutinaAVypad_enemy_extras_soldier_16
  [238] rutinaAVypad_friend_extras_3
  [239] char_GENERIC_MAN_COMMONER_15
  [240] rutinaAVypad_enemy_extras_guard_9
  [241] rutinaAVypad_enemy_extras_archers_3
  [242] rutinaAVypad_enemy_captive
  [243] rutinaAVypad_enemy_extras_soldier_6
  [244] rutinaAVypad_friend_archer_1
  [245] rutinaAVypad_enemy_extras_guard_10
  [246] rutinaAVypad_friend_guard_9
  [247] char_GENERIC_MAN_GUARD_08
  [248] rutinaAVypad_enemy_extras_halberdPatrol_6
  [249] rutinaAVypad_enemy_extras_halberdPatrol_16
  [250] rutinaAVypad_enemy_digger_4
  [251] rutinaAVypad_friend_extras_assaultGroup_3
  [252] rutinaAVypad_friend_extras_10
  [253] rutinaAVypad_friend_guard_7
  [254] char_GENERIC_MAN_GUARD_15
  [255] rutinaAVypad_enemy_extras_archers_6
  [256] rutinaAVypad_enemy_extras_soldier_11
  [257] rutinaAVypad_enemy_extras_4
  [258] rutinaAVypad_enemy_archer_2
  [259] rutinaAVypad_enemy_gunner_3
  [260] rutinaAVypad_enemy_extras_guardArcher_4
  [261] rutinaAVypad_friend_extras_2
  [262] rutinaAVypad_enemy_extras_15
  [263] rutinaAVypad_friend_extras_11
  [264] rutinaAVypad_enemy_extrasdeadBody_10
  [265] rutinaAVypad_enemy_extras_soldier_23
  [266] rutinaAVypad_enemy_extras_soldier_22
  [267] rutinaAVypad_enemy_extras_11
  [268] rutinaAVypad_friend_archer_6
  [269] rutinaAVypad_enemy_extras_soldier_2
  [270] rutinaAVypad_enemy_attacker_3
  [271] rutinaAVypad_enemy_extrasdeadBody_3
  [272] rutinaAVypad_enemy_extras_wounded_3
  [273] rutinaAVypad_enemy_extras_soldier_7
  [274] rutinaAVypad_friend_archer_2
  [275] rutinaAVypad_enemy_archer_4
  [276] rutinaAVypad_enemy_attacker_1
  [277] rutinaAVypad_enemy_extrasdeadBody_9
  [278] rutinaAVypad_friend_extras_assaultGroup_1
  [279] rutinaAVypad_enemy_extras_wounded_5
  [280] rutinaAVypad_enemy_extras_soldier_27
  [281] rutinaAVypad_enemy_attacker_8
  [282] rutinaAVypad_enemy_extras_mountedPatrol_horse_4
  [283] rutinaAVypad_friend_archer_10
  [284] char_GENERIC_MAN_COMMONER_10
  [285] rutinaAVypad_enemy_extras_6
  [286] rutinaAVypad_enemy_extras_mountedPatrol_2
  [287] rutinaAVypad_enemy_extras_confusedSoldier_5
