======================================================================
== C:\GitHub\kcd2_gear_picker\kcd2-ref\Libs\Tables\rpg\soul__setkaniVRatbori1.tbl
  [83] setkaniVRatbori1_ratiborGuard14
  [84] setkaniVRatbori1_ratiborMaid1
  [85] char_KUCHARKA_MADLA
  [86] setkaniVRatbori1_ratiborNoble12
  [87] char_GENERIC_MAN_NOBLEMAN_11
  [88] setkaniVRatbori1_ratiborNoble17
  [89] char_GENERIC_MAN_NOBLEMAN_10
  [90] setkaniVRatbori1_ratiborNoble9
  [91] char_GENERIC_MAN_NOBLEMAN_12
  [92] setkaniVRatbori1_tempRatiborRetinue
  [93] char_GENERIC_MAN_COMMONER_11
  [94] setkaniVRatbori1_tempRatiborRetinue9
  [95] char_GENERIC_MAN_SOLDIER_10
  [96] setkaniVRatbori1_ratiborNoble10
  [97] char_GENERIC_MAN_NOBLEMAN_03
  [98] setkaniVRatbori1_tempRatiborRetinue2
  [99] char_GENERIC_MAN_SOLDIER_33
  [100] setkaniVRatbori1_ratiborNoble8
  [101] setkaniVRatbori1_chancellor
  [102] kutnohorsko_settlements_kutnaHora_commonFolk_tavernSesivanejch
  [103] char_MAJORDOMUS_RADNICE
  [104] setkaniVRatbori1_horse5
  [105] setkaniVRatbori1_ratiborNobleWoman3
  [106] char_MATYLDA_ZE_SLAVATIC
  [107] setkaniVRatbori1_tempRatiborRetinue10
  [108] char_GENERIC_MAN_COMMONER_02
  [109] setkaniVRatbori1_ratiborGuard25
  [110] setkaniVRatbori1_horse6
  [111] setkaniVRatbori1_ratiborHorsetrader2
  [112] char_GENERIC_MAN_COMMONER_23
  [113] setkaniVRatbori1_ratiborGuard16
  [114] setkaniVRatbori1_zikmundGuard2
  [115] setkaniVRatbori1_tempRatiborRetinueHorse7
  [116] setkaniVRatbori1_horse2
  [117] players_friends_hanus_horse
  [118] setkaniVRatbori1_tempRatiborRetinueHorse2
  [119] setkaniVRatbori1_ratiborNobleWoman2
  [120] char_KRISTYNA_Z_NOSTIC
  [121] setkaniVRatbori1_ratiborNoble1
  [122] char_GENERIC_MAN_NOBLEMAN_01
  [123] setkaniVRatbori1_ratiborGuard5
  [124] setkaniVRatbori1_ratiborGuard9
  [125] setkaniVRatbori1_tempRatiborRetinue8
  [126] char_GENERIC_MAN_SOLDIER_05
  [127] setkaniVRatbori1_ratiborGuard6
  [128] setkaniVRatbori1_ratiborGuard2
  [129] setkaniVRatbori1_ratiborGuard11
  [130] setkaniVRatbori1_ratiborGuard24
  [131] setkaniVRatbori1_ratiborGuard3
  [132] char_GENERIC_MAN_GUARD_18
  [133] setkaniVRatbori1_ratiborNoble3
  [134] setkaniVRatbori1_tempRatiborRetinueHorse5
  [135] setkaniVRatbori1_ratiborGuard19
  [136] setkaniVRatbori1_ratiborNoble16
  [137] setkaniVRatbori1_ratiborNoble11
  [138] setkaniVRatbori1_ratiborGuard13
  [139] setkaniVRatbori1_ratiborNobleWoman1
  [140] char_HELENA_Z_DVORCE
  [141] setkaniVRatbori1_ratiborGuard12
  [142] setkaniVRatbori1_ratiborNoble6
  [143] char_GENERIC_MAN_NOBLEMAN_09
  [144] setkaniVRatbori1_Dog2
  [145] setkaniVRatbori1_ratiborNoble13
  [146] setkaniVRatbori1_cs_elite1
  [147] char_GENERIC_MAN_COMMONER_16
  [148] setkaniVRatbori1_ratiborGuard17
  [149] setkaniVRatbori1_ratiborGuard8
  [150] setkaniVRatbori1_horse3
  [151] players_friends_racek
  [152] setkaniVRatbori1_townHallGuard1
  [153] kutnohorsko_settlements_kutnaHora_soldiers_militia_setkaniVRatbori1_townHallGuards
  [154] setkaniVRatbori1_ratiborNoble15
  [155] char_GENERIC_MAN_NOBLEMAN_04
  [156] setkaniVRatbori1_townHallGuard2
